title,score,revenue,year,released
Alvin and the Chipmunks: Chipwrecked,5.4,342695435,2011,2011-12-16
Alvin and the Chipmunks: The Squeakquel,5.4,443140005,2009,2009-12-23
American Beauty,7.9,356296601,1999,1999-10-01
American Dreamz,4.9,7314027,2006,2006-04-21
American Gangster,7.4,266465037,2007,2007-11-02
American History X,8.2,23875127,1998,1998-11-20
American Hustle,6.8,251171807,2013,2013-12-20
American Outlaws,5.7,13678913,2001,2001-08-17
American Pie,6.4,235483004,1999,1999-07-09
American Pie 2,6,287553595,2001,2001-08-10
American Psycho,7.3,34266564,2000,2000-04-14
American Reunion,6.1,234989584,2012,2012-04-06
American Sniper,7.4,542307423,2014,2015-01-16
American Wedding,6,231449203,2003,2003-08-01
Amistad,6.8,74000000,1997,1997-12-25
Amores perros,7.6,20908467,2000,2001-04-13
Amour,7.5,19839492,2012,2012-09-20
An Unfinished Life,6.7,18618284,2005,2005-09-16
Anaconda,4.7,136885767,1997,1997-04-11
Anacondas: The Hunt for the Blood Orchid,4.9,70992898,2004,2004-08-27
Analyze That,5.7,55003135,2002,2002-12-06
Analyze This,6.4,176885658,1999,1999-03-05
Anastasia,7.4,139804348,1997,1997-11-21
Anchorman 2: The Legend Continues,6,173649015,2013,2013-12-18
Anchorman: The Legend of Ron Burgundy,6.7,90574188,2004,2004-07-09
And So It Goes,5.7,25312387,2014,2014-07-25
Angel Eyes,5.6,29700000,2001,2001-05-18
Angels & Demons,6.5,356613439,2009,2009-05-15
Annabelle,5.6,255273813,2014,2014-10-03
Annie,6,133821816,2014,2014-12-19
Anomalisa,7,5659286,2015,2016-02-05
Anonymous,6.3,15395087,2011,2011-12-02
Another Earth,6.8,1776935,2011,2011-10-12
Ant-Man,7,519311965,2015,2015-07-17
Antitrust,5.8,18195610,2001,2001-01-12
Antwone Fisher,6.7,23367586,2002,2003-01-10
Antz,6,171757863,1998,1998-10-02
Any Given Sunday,6.8,100230832,1999,1999-12-22
Anywhere But Here,5.9,18653615,1999,1999-11-12
Apocalypto,7.3,120175290,2006,2006-12-08
Apollo 13,7.3,355237933,1995,1995-06-30
Apollo 18,5,25562924,2011,2011-09-02
Appaloosa,6.3,20211394,2008,2008-10-03
Aquamarine,5.8,23006849,2006,2006-03-03
Arachnophobia,6.2,53208180,1990,1990-07-18
Arbitrage,6.1,35485056,2012,2012-09-14
Are We There Yet?,5.2,97918663,2005,2005-01-21
Argo,7.1,232324128,2012,2012-10-12
Armageddon,6.4,553799566,1998,1998-07-01
Armored,5.5,22942221,2009,2009-12-04
Around the World in 80 Days,5.7,72178895,2004,2004-06-16
Arthur and the Invisibles,6,107944236,2006,2007-01-12
"As Above, So Below",6.1,40100000,2014,2014-08-29
As Good as It Gets,7.2,314178011,1997,1997-12-25
Assassins,6,30303072,1995,1995-10-06
Assault on Precinct 13,6,35294470,2005,2005-01-19
Astro Boy,6.1,44091067,2009,2009-10-23
Atlantis: The Lost Empire,6.7,186053725,2001,2001-06-15
Atonement,7.4,129266061,2007,2008-01-11
Attack the Block,6.3,3964682,2011,2011-05-13
August Rush,7.1,66122026,2007,2007-11-21
August: Osage County,6.9,74188937,2013,2014-01-10
Austin Powers in Goldmember,5.9,296655431,2002,2002-07-26
Austin Powers: International Man of Mystery,6.5,67683989,1997,1997-05-02
Austin Powers: The Spy Who Shagged Me,6.2,310940086,1999,1999-06-11
Australia,6.3,49554002,2008,2008-11-26
Auto Focus,6.1,2062066,2002,2002-11-01
Avatar,7.2,2787965087,2009,2009-12-18
Avengers: Age of Ultron,7.3,1405403694,2015,2015-05-01
AVP: Alien vs. Predator,5.5,171183863,2004,2004-08-13
Away We Go,6.7,14899417,2009,2009-06-26
Babel,6.9,135330182,2006,2006-11-10
Baby Boy,7.4,29381649,2001,2001-06-27
Baby Geniuses,3.3,36450736,1999,1999-03-12
Baby Mama,5.8,63833449,2008,2008-04-25
Baby's Day Out,5.8,16671505,1994,1994-07-01
Babylon A.D.,5.4,72108608,2008,2008-08-29
Bachelorette,5.3,11947954,2012,2013-07-12
Back to the Future Part II,7.4,332000000,1989,1989-11-22
Back to the Future Part III,7.1,244527583,1990,1990-05-25
Bad Boys,6.5,141407024,1995,1995-04-07
Bad Boys II,6.3,273339556,2003,2003-07-18
Bad Company,5.4,65977295,2002,2002-06-07
Bad Grandpa,6,151831537,2013,2013-10-25
Bad Moms,6.3,183936074,2016,2016-07-29
Bad Santa,6.5,76488889,2003,2003-11-26
Bad Teacher,5.4,216197492,2011,2011-06-24
Ballistic: Ecks vs. Sever,4.3,19924033,2002,2002-09-20
Bandits,6.2,67631903,2001,2001-10-12
Bangkok Dangerous,5,42487390,2008,2008-09-05
Barbershop,6.2,75781642,2002,2002-09-13
Basic Instinct 2,4.6,38629478,2006,2006-03-31
Basquiat,6.6,3011195,1996,1996-08-09
Batman,7,411348924,1989,1989-06-23
Batman & Robin,4.2,238207122,1997,1997-06-20
Batman Begins,7.5,374218673,2005,2005-06-15
Batman Forever,5.2,336529144,1995,1995-06-16
Batman Returns,6.6,280000000,1992,1992-06-19
Batman v Superman: Dawn of Justice,5.7,873260194,2016,2016-03-25
Battlefield Earth,3,21400000,2000,2000-05-12
Battleship,5.5,303025485,2012,2012-05-18
Be Cool,5.4,95226116,2005,2005-03-04
Beastly,6,43165571,2011,2011-03-04
Beastmaster 2: Through the Portal of Time,4.6,869325,1991,1991-08-30
Beasts of the Southern Wild,6.8,21107746,2012,2013-02-14
Beautiful Creatures,5.6,60052138,2013,2013-02-14
Becoming Jane,6.9,37311672,2007,2007-08-10
Bedazzled,5.6,90383208,2000,2000-10-20
Bedtime Stories,5.9,212874442,2008,2008-12-25
Bee Movie,5.7,287594577,2007,2007-11-02
Beerfest,5.8,19179969,2006,2006-08-25
Beetlejuice,7.1,73326666,1988,1988-03-30
Before I Go to Sleep,6.2,15447154,2014,2014-10-31
Before Midnight,7.4,11176469,2013,2013-06-14
Before Sunrise,7.7,5535405,1995,1995-01-27
Before Sunset,7.6,15992615,2004,2004-07-30
Beginners,6.8,5332926,2010,2011-08-26
Behind Enemy Lines,6,91753202,2001,2001-11-30
Being John Malkovich,7.3,22863596,1999,1999-12-03
Ben-Hur,5.3,94061311,2016,2016-08-19
Beowulf,5.5,195735876,2007,2007-11-16
Bernie,6.5,9206470,2011,2012-06-22
Beverly Hills Chihuahua,4.9,149281606,2008,2008-10-03
Beverly Hills Cop II,6.1,299965036,1987,1987-05-20
Beverly Hills Cop III,5.5,119208989,1994,1994-05-25
Beyond the Lights,7,14618727,2014,2014-11-14
Bicentennial Man,6.9,93700000,1999,1999-12-17
Big,6.9,151668774,1988,1988-06-03
Big Daddy,6.1,234801895,1999,1999-06-25
Big Eyes,6.8,28883511,2014,2014-12-25
Big Fat Liar,5.6,52970014,2002,2002-02-08
Big Fish,7.6,122919055,2003,2004-01-09
Big Hero 6,7.8,652105443,2014,2014-11-07
Big Miracle,6.6,24719215,2012,2012-02-03
Big Momma's House,5.6,173959438,2000,2000-06-02
Big Momma's House 2,5.4,138259062,2006,2006-01-27
"Big Mommas: Like Father, Like Son",5.3,83615414,2011,2011-02-18
Big Trouble,6.3,8493890,2002,2002-04-05
Big Trouble in Little China,7.1,11000000,1986,1986-07-02
Bill & Ted's Excellent Adventure,6.7,40485039,1989,1989-02-17
Billy Elliot,7.4,110000000,2000,2000-11-10
Black Book,7.2,26193068,2006,2007-05-18
Black Christmas,4.8,21510851,2006,2006-12-25
Black Hawk Down,7.2,172989651,2001,2002-01-18
Black Mass,6.3,98837872,2015,2015-09-18
Black Rain,6.2,45892212,1989,1989-09-22
Black Snake Moan,6.6,10903846,2006,2007-03-02
Black Swan,7.3,327803731,2010,2010-12-17
Blackhat,5.1,17752940,2015,2015-01-16
Blade,6.5,131183530,1998,1998-08-21
Blade II,6.2,155010032,2002,2002-03-22
Blade: Trinity,5.7,128905366,2004,2004-12-08
Blast from the Past,6.3,40263020,1999,1999-02-12
Blended,6.6,123494610,2014,2014-05-23
Blood Work,6.1,26199517,2002,2002-08-09
BloodRayne,3.5,2405420,2005,2006-01-06
Bloodsport,6.6,11806119,1988,1988-04-29
Blow,7.4,83282296,2001,2001-04-06
Blue Crush,5.6,51842679,2002,2002-08-16
Blue Jasmine,7,99206215,2013,2013-08-23
Blue Streak,6.1,117758500,1999,1999-09-17
Blue Valentine,6.9,16566240,2010,2011-01-28
Boat Trip,4.7,8586376,2002,2003-03-21
Body of Lies,6.5,113280098,2008,2008-10-10
Boiler Room,6.5,28780255,2000,2000-02-18
Bolt,6.3,309979994,2008,2008-11-21
Boogeyman,4.6,67192859,2005,2005-02-04
Boogie Nights,7.5,43101594,1997,1997-10-31
Boomerang,5.4,70100000,1992,1992-07-01
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,261572744,2006,2006-11-03
Born on the Fourth of July,6.7,161001698,1989,1990-01-05
Bottle Rocket,6.8,560069,1996,1996-02-21
Bottle Shock,6.6,4040588,2008,2008-09-05
Bound,6.9,7011317,1996,1996-10-04
Boyhood,7.5,44349000,2014,2014-08-15
Boys and Girls,5.4,20627372,2000,2000-06-16
Boys Don't Cry,7.2,11540607,1999,2000-03-31
Boyz n the Hood,7.4,57504069,1991,1991-07-12
Brave,6.7,538983207,2012,2012-06-22
Braveheart,7.7,210000000,1995,1995-05-24
Breakdown,6.6,50159144,1997,1997-05-02
Bride of Chucky,5.5,50671850,1998,1998-10-16
Bride Wars,5.9,114663461,2009,2009-01-09
Bridesmaids,6.5,288383523,2011,2011-05-13
Bridge of Spies,7.2,165478348,2015,2015-10-16
Bridge to Terabithia,7,137587063,2007,2007-02-16
Bridget Jones's Diary,6.5,281929795,2001,2001-04-13
Bridget Jones: The Edge of Reason,6.1,40203020,2004,2004-11-19
Bright Star,6.8,4440055,2009,2009-10-09
Bring It On,5.8,90449929,2000,2000-08-25
Bringing Down the House,5.4,132675402,2003,2003-03-07
Brokeback Mountain,7.5,178043761,2005,2006-01-13
Brokedown Palace,6.2,13000000,1999,1999-08-13
Broken Arrow,5.7,150270147,1996,1996-02-09
Broken City,5.7,19701164,2013,2013-01-18
Brooklyn,7.2,62076141,2015,2015-11-25
Brooklyn's Finest,6.2,29536299,2009,2010-03-05
Brother,6.8,15250000,2000,2001-09-28
Brothers,6.8,43318349,2009,2009-12-04
Bruce Almighty,6.4,484572835,2003,2003-05-23
Bulworth,6.3,29202884,1998,1998-05-22
Burlesque,6.9,89519773,2010,2010-11-24
Burn After Reading,6.5,163720069,2008,2008-09-12
Burnt,6.3,36606743,2015,2015-10-30
Can't Hardly Wait,6.1,25605015,1998,1998-06-12
Cape Fear,7,182300000,1991,1991-11-15
Capote,6.8,49084830,2005,2006-02-03
Captain America: Civil War,7.1,1153304495,2016,2016-05-06
Captain America: The First Avenger,6.6,370569774,2011,2011-07-22
Captain America: The Winter Soldier,7.6,714766572,2014,2014-04-04
Captain Corelli's Mandolin,5.5,62112895,2001,2001-08-17
Captain Phillips,7.6,95000000,2013,2013-10-11
Captive,5.6,2801508,2015,2015-09-18
Carrie,5.8,82394288,2013,2013-10-18
Cars,6.6,461983149,2006,2006-06-09
Cars 2,5.8,559852396,2011,2011-06-24
Case 39,6.1,29000000,2009,2010-10-01
Casino,7.8,116112375,1995,1995-11-22
Casino Jack,6,1083683,2010,2011-01-07
Casino Royale,7.3,599045960,2006,2006-11-17
Casper,6,287928194,1995,1995-05-26
Cast Away,7.5,429632142,2000,2000-12-22
Catch Me If You Can,7.7,352114312,2002,2002-12-25
Catch That Kid,4.9,16702864,2004,2004-02-06
Cats & Dogs,5,93375151,2001,2001-07-04
Cats Don't Dance,7.1,3566637,1997,1997-03-26
Catwoman,4.2,82102379,2004,2004-07-23
Cellular,6.1,56422687,2004,2004-09-10
Center Stage,6.8,17200925,2000,2000-05-12
Central Intelligence,6.2,216972543,2016,2016-06-17
Central Station,7.6,5596708,1998,1998-11-20
Centurion,5.9,6814789,2010,2010-07-30
Chain Reaction,5.3,60209334,1996,1996-08-02
Changeling,7.3,113020255,2008,2008-10-31
Changing Lanes,5.9,94935764,2002,2002-04-12
Chappie,6.6,104399548,2015,2015-03-06
Charlie and the Chocolate Factory,6.7,474968763,2005,2005-07-15
Charlie St. Cloud,6.8,48190704,2010,2010-07-30
Charlie Wilson's War,6.5,119000410,2007,2007-12-21
Charlie's Angels,5.6,264105545,2000,2000-11-03
Charlie's Angels: Full Throttle,5.2,259175788,2003,2003-06-27
Chasing Amy,6.7,12021272,1997,1997-04-18
Cheaper by the Dozen,6,190212113,2003,2003-12-25
Cheaper by the Dozen 2,5.7,129181830,2005,2005-12-21
Chicago,6.9,306776732,2002,2003-01-24
Chicken Little,5.6,314432665,2005,2005-11-04
Chicken Run,6.5,224834564,2000,2000-06-23
Child's Play,6.3,44196684,1988,1988-11-09
Child's Play 2,5.8,35763605,1990,1990-11-09
Children of Heaven,7.8,900000,1997,1999-01-22
Children of Men,7.4,69959751,2006,2007-01-05
Chloe,5.9,8459458,2009,2010-03-26
Chocolat,6.8,152500343,2000,2001-01-19
Choke,6,3830137,2008,2008-09-26
Chronicle,6.6,145000000,2012,2012-02-03
Cinderella,6.7,543514353,2015,2015-03-13
Cinderella Man,7.3,108539911,2005,2005-06-03
Cirque du Freak: The Vampire's Assistant,5.5,28169671,2009,2009-10-23
City By The Sea,5.7,22433915,2002,2002-09-06
City Island,6.9,6670712,2009,2010-04-30
City of Ember,6.2,17869048,2008,2008-10-10
City of God,8.1,30641770,2002,2004-02-13
Clash of the Titans,5.6,232713139,2010,2010-04-02
Clear and Present Danger,6.4,215887717,1994,1994-08-03
Clerks,7.4,3151130,1994,1994-11-09
Clerks II,6.9,26888376,2006,2006-07-21
Click,6,237681299,2006,2006-06-23
Cliffhanger,6.1,255000211,1993,1993-05-28
Clockstoppers,4.9,38793283,2002,2002-03-29
Closer,6.7,115505027,2004,2004-12-03
Cloud Atlas,6.6,130482868,2012,2012-10-26
Cloudy with a Chance of Meatballs,6.5,242988466,2009,2009-09-18
Cloudy with a Chance of Meatballs 2,6.4,248384621,2013,2013-09-27
Cloverfield,6.4,170764026,2008,2008-01-18
Club Dread,5.1,5001655,2004,2004-02-27
Coach Carter,7.3,76669806,2005,2005-01-14
Cold Mountain,6.7,173013509,2003,2003-12-25
Collateral,7,217764291,2004,2004-08-06
Collateral Damage,5.5,78382433,2002,2002-02-08
College,4.8,6230276,2008,2008-08-29
Colombiana,6.5,60965854,2011,2011-08-26
Con Air,6.5,224012234,1997,1997-06-06
Conan the Barbarian,6.6,79114085,2011,2011-08-19
Concussion,7,50363790,2015,2015-12-25
Confessions of a Dangerous Mind,6.6,33013805,2002,2003-01-24
Confessions of a Teenage Drama Queen,5.1,29331068,2004,2004-02-20
Congo,5,152022101,1995,1995-06-09
Connie and Carla,6.4,11341016,2004,2004-04-16
Conspiracy Theory,6.5,136982834,1997,1997-08-08
Contact,7.2,171120329,1997,1997-07-11
Contagion,6.2,137551594,2011,2011-09-09
Contraband,6.1,63100000,2012,2012-01-13
Cool Runnings,6.8,154864401,1993,1993-10-01
Cop Land,6.6,44862187,1997,1997-08-15
Cop Out,5.3,55583804,2010,2010-02-26
Coraline,7.3,124596398,2009,2009-02-06
Corpse Bride,7.2,117195061,2005,2005-09-23
Country Strong,5.9,20529194,2010,2011-01-07
Couples Retreat,5.3,171844840,2009,2009-10-09
Courage Under Fire,6.2,100860818,1996,1996-07-12
Courageous,6.8,34522221,2011,2011-09-30
Coyote Ugly,5.8,113916474,2000,2000-08-04
Cradle 2 the Grave,5.8,56489558,2003,2003-02-28
Crank,6.6,42931041,2006,2006-09-01
Crank: High Voltage,5.9,34560577,2009,2009-04-17
Crash,7.2,98410061,2004,2005-05-06
Crazy Heart,6.8,39462438,2009,2010-02-05
"Crazy, Stupid, Love.",7,142851197,2011,2011-07-29
Crazy/Beautiful,6.6,16929123,2001,2001-06-29
Creed,7.3,173567581,2015,2015-11-25
Creepshow 2,5.9,14000000,1987,1987-05-01
Criminal,5.7,14708696,2016,2016-04-15
Crimson Tide,7,157387195,1995,1995-05-12
Crocodile Dundee,6.3,328203506,1986,1986-09-26
Crossroads,4.7,61141030,2002,2002-02-15
"Crouching Tiger, Hidden Dragon",7.2,213525736,2000,2001-01-12
Cruel Intentions,6.6,75902208,1999,1999-03-05
Cry_Wolf,5.6,10047674,2005,2005-09-16
Curious George,6.2,69834815,2006,2006-02-10
Cutthroat Island,5.7,10017322,1995,1995-12-22
Daddy Day Care,5.6,164433867,2003,2003-05-09
Daddy's Home,5.8,242786137,2015,2015-12-25
Dallas Buyers Club,7.9,55198285,2013,2013-11-22
Dances with Wolves,7.6,424208848,1990,1990-11-21
Dangerous Liaisons,7,34670720,1988,1989-02-24
Danny Collins,6.6,10835752,2015,2015-04-10
Dante's Peak,5.7,178127760,1997,1997-02-07
Dark Blue,6.5,9237470,2002,2003-02-21
Dark Shadows,5.7,245527149,2012,2012-05-11
Dark Water,5.3,25473093,2005,2005-07-08
Date Movie,3.6,48548426,2006,2006-02-17
Date Night,5.9,152263880,2010,2010-04-09
Dawn of the Dead,6.8,102356381,2004,2004-03-19
Dawn of the Planet of the Apes,7.3,710644566,2014,2014-07-11
Daylight,5.8,159212469,1996,1996-12-06
Days of Thunder,5.9,157920733,1990,1990-06-27
Dazed and Confused,7.4,7993039,1993,1994-02-10
Dead Man Walking,7.3,39363635,1995,1996-02-02
Dead Poets Society,8.1,235860116,1989,1989-06-09
Deadfall,5.6,66351,1993,1993-10-08
Deadfall,5.6,66351,2012,2014-01-24
Deadpool,7.4,783112979,2016,2016-02-12
Dear John,6.6,114977104,2010,2010-02-05
Death Becomes Her,6.3,149022650,1992,1992-07-31
Death Race,6,73762516,2008,2008-08-22
Death Sentence,6.5,16974459,2007,2007-08-31
Deconstructing Harry,7.3,10686841,1997,1998-01-02
Deep Blue Sea,5.6,73648228,1999,1999-07-28
Deep Impact,5.9,140464664,1998,1998-05-08
Deep Rising,6,11203026,1998,1998-01-30
Defendor,6.5,44462,2009,2010-05-13
Delivery Man,6.2,51164106,2013,2013-11-22
Derailed,6.1,57479076,2005,2005-11-11
Desperado,6.8,25405445,1995,1995-08-25
Despicable Me,7.1,543513985,2010,2010-07-09
Despicable Me 2,7,970761885,2013,2013-07-03
Detroit Rock City,6.7,4217115,1999,1999-08-13
Deuce Bigalow: European Gigolo,4.7,22400154,2005,2005-08-12
Deuce Bigalow: Male Gigolo,5.5,65535067,1999,1999-12-10
Devil,5.8,33583175,2010,2010-09-17
