year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi
000000000002002,"6,1; 158231,8; 167347358; 64225806; 110","6,9; 424828,5; 471457135; 57250000; 140","6,6; 122766,5; 201129637; 93833333; 86","7,1; 225228,8; 97821470; 24750000; 125","5,8; 60086; 67358731; 30296296; 100","6,4; 155877,5; 85680158; 41400000; 115","6,3; 81116,8; 69991583; 33239130; 108",0,0,"5,3; 80523; 68349884; 35000000; 91",0,0,0
000000000002003,"6,1; 190388; 184525542; 79366666; 116","7; 467689,5; 367372374; 60782500; 139","6,5; 179209; 234459275; 52400000; 87","6,4; 19509; 16878559; 27500000; 131","5,7; 102643,1; 128761557; 39128846; 101","7,1; 169000,5; 64667975; 25000000; 124","6,6; 101794,9; 70894661; 31071428; 119",0,0,"5,7; 79471,6; 57811731; 24120000; 92","7,1; 192146; 90259536; 30000000; 90",0,0
000000000002004,"6,1; 164120,3; 145547151; 68135483; 112","6,3; 157943,8; 186976769; 45200000; 107","6,5; 190832,1; 363007480; 87000000; 95","7,2; 156504,8; 85985949; 27625000; 128","6; 112222,9; 83888414; 36678787; 102","6,6; 208416; 138504515; 41800000; 108","6,7; 200645,7; 125966228; 42789277; 117",6; 23974; 14867514; 15000000; 100,0,"5,9; 158569; 121795619; 30400000; 102","6,4; 157858; 92913171; 40000000; 96",0,"7,3; 387284; 96060858; 13000000; 113"
000000000002005,"5,9; 188252,8; 136564092; 74000000; 116","6,1; 134769,1; 229487953; 68133333; 110","6,2; 121883; 212570016; 60000000; 82","6,9; 101385,5; 70715491; 31875000; 122","6,2; 78102,7; 72029429; 33978260; 102","6,7; 159093,2; 58207406; 27350000; 114","6,4; 96494,8; 93159622; 27968750; 113",0,0,"6; 110356,4; 101661748; 20560000; 100","6,2; 99003; 57891803; 26000000; 85",0,0
000000000002006,"6; 183125,3; 192495485; 76795454; 112","6,4; 85377,6; 146848973; 37600000; 109","6,2; 108630,2; 226656384; 80336363; 93","6,6; 87465; 58764759; 24225000; 116","5,9; 102004; 84332861; 27465517; 105","6,9; 254435,3; 116925441; 37714285; 116","6,6; 153962,7; 63669043; 38700000; 120",0,0,"5,6; 61851,8; 59882245; 14850000; 96","6,5; 345008; 767820459; 125000000; 149",0,0
000000000002007,"6,1; 237903,8; 290991778; 105812500; 120","6,9; 232612,5; 238970758; 74125000; 120","6,2; 194609,2; 410497385; 104375000; 97","6,9; 109604; 80125927; 43928571; 126","6,2; 126324,4; 99015736; 31941176; 103","6,6; 218727,2; 102832112; 39500000; 122","6,7; 151748,3; 103157154; 32766666; 116",0,0,"6,1; 130762,2; 81527292; 15057222; 102","6,3; 174137; 77566815; 30000000; 101",0,"5,7; 67939; 15071514; 80000000; 99"
000000000002008,"6,1; 236689,1; 206353855; 80514705; 111","5,9; 62094,1; 66450063; 49222222; 106","6,9; 233635,6; 330917040; 101953957; 94","6,8; 95714,4; 44838619; 33420000; 127","5,8; 102514; 94888622; 32000000; 100","6,1; 82974,8; 44844358; 25888888; 109","6,8; 215766,9; 135282961; 34725000; 115",0,0,"5,8; 69227; 57398476; 16960000; 97",0,0,0
000000000002009,"6,1; 214274,2; 306557491; 83387500; 113","6,4; 247348,2; 251213095; 77236363; 117","6,4; 151719,8; 292873287; 94583333; 91","6,8; 117615,1; 119808214; 44642857; 118","6; 97843,4; 96125499; 31294102; 102","6,5; 120217,3; 62982886; 28333333; 117","6,5; 103890,4; 58921371; 27000000; 112",0,0,"5,6; 70909,2; 78890056; 23250000; 99","6,2; 149590,5; 199473367; 80000000; 118",0,0
000000000002010,"6; 200569,1; 167054894; 73763157; 107","6,2; 170414,6; 334934631; 79777777; 111","6,6; 258589,6; 461400332; 129888888; 96","6,8; 211719; 117324094; 22785714; 114","6,1; 93300,8; 72991115; 31025000; 100","6,4; 105900,7; 51673151; 29071428; 116","6,6; 108537,5; 71736525; 25108333; 112",0,"5,4; 42545; 36993168; 25000000; 99","6,1; 103594,2; 68065827; 10216666; 95","7,8; 883895; 294804195; 80000000; 138",0,0
000000000002011,"6,1; 207397,3; 231503659; 82593070; 110","6,3; 128947,8; 106414212; 62483333; 111","6,1; 105789,5; 358311005; 111300000; 99","6,5; 117701; 73212881; 24200000; 117","6,1; 137271,8; 105602411; 33891176; 104","7; 269264,2; 99937555; 38750000; 119","6,5; 97874,5; 48045668; 23438888; 111",0,"5,6; 96451; 89162162; 42000000; 100","6; 76930,7; 84333537; 18791666; 96","6,8; 359257,5; 203714342; 41000000; 102","6,5; 211918; 127869379; 50200000; 106",0
000000000002012,"6,1; 234573; 250840791; 85616666; 111","6,5; 304701,3; 340671041; 74275000; 116","6,7; 170504,9; 430264576; 114875000; 93","6,6; 88457,7; 103050334; 35333333; 117","6,1; 133518,7; 107814993; 33295833; 104","5,9; 109952; 36305101; 19666666; 111","6,8; 199096,5; 118152561; 27033333; 119",0,0,"5,4; 101319,2; 66594729; 9583333; 93",0,0,"6,6; 216523; 145000000; 15000000; 89"
000000000002013,"6,3; 234548,3; 236537502; 92812105; 118","6,3; 152728,8; 196640928; 84812500; 115","6,6; 182611,8; 590066943; 122375000; 100","7,3; 297814,4; 122219804; 36250000; 132","6,1; 110095,5; 82006673; 22557894; 103","6,6; 211936,4; 82769100; 36888888; 114","6,5; 131093,6; 79227120; 23909375; 108",0,"6,4; 135944; 97542952; 17000000; 91","6,3; 158880; 136424110; 12666666; 102",0,0,0
000000000002014,"6,3; 238256,9; 335660152; 97537142; 116","6,6; 285270,7; 300483651; 82500000; 119","7; 130755,6; 371326916; 101666666; 97","7; 137502,9; 91759466; 22888888; 119","6,1; 81002,5; 76371481; 23530000; 105","6,6; 173684,4; 80099961; 31744444; 118","6,8; 133163,6; 61083196; 24252941; 113",0,0,"5,8; 85825,2; 103409540; 4625000; 95",0,0,"5,8; 53291; 600896; 4000000; 97"
000000000002015,"6,2; 185259,4; 348001576; 100200000; 117","6,6; 147728,8; 187707730; 67000000; 115","6,7; 120435; 468981584; 102500000; 91","7; 111397,8; 80547243; 30777777; 123","6,1; 69397,8; 92813896; 26783333; 105","6,7; 158058,6; 59986978; 31700000; 126","6,4; 91820,9; 122712248; 24400000; 114",0,0,"5,7; 54204,7; 63308586; 7583333; 91","4,1; 31057; 52425855; 4000000; 91",0,"6,4; 65169; 32248241; 12000000; 106"
000000000002016,"5,9; 151426,4; 283324688; 102685185; 118","6,6; 102345,2; 383243395; 126250000; 108","6,1; 95994; 337234328; 79000000; 93","6,7; 34932; 40670825; 20300000; 114","5,6; 63082,4; 98285912; 27937500; 100","6,5; 72997; 93282604; 27000000; 98","6,7; 120537,5; 110386134; 17500000; 102",0,0,"6; 79470,5; 117130211; 16225000; 101",0,0,0
