title	genre	score	revenue	released
Criminal	Action	5.7	14708696	2016-04-15
Crimson Tide	Action	7	157387195	1995-05-12
"Crouching Tiger, Hidden Dragon"	Action	7.2	213525736	2001-01-12
Cutthroat Island	Action	5.7	10017322	1995-12-22
Dante's Peak	Action	5.7	178127760	1997-02-07
Dark Blue	Action	6.5	9237470	2003-02-21
Dawn of the Dead	Action	6.8	102356381	2004-03-19
Dawn of the Planet of the Apes	Action	7.3	710644566	2014-07-11
Daylight	Action	5.8	159212469	1996-12-06
Days of Thunder	Action	5.9	157920733	1990-06-27
Deadpool	Action	7.4	783112979	2016-02-12
Death Race	Action	6	73762516	2008-08-22
Death Sentence	Action	6.5	16974459	2007-08-31
Deep Blue Sea	Action	5.6	73648228	1999-07-28
Deep Impact	Action	5.9	140464664	1998-05-08
Deep Rising	Action	6	11203026	1998-01-30
Desperado	Action	6.8	25405445	1995-08-25
Dick Tracy	Action	5.9	103738726	1990-06-15
Die Another Day	Action	5.8	431971116	2002-11-22
Die Hard	Action	7.5	140767956	1988-07-20
Die Hard 2	Action	6.6	240031094	1990-07-04
DOA: Dead or Alive	Action	5	480314	2007-06-15
Domino	Action	6	22944502	2005-10-14
Doom	Action	5	55987321	2005-10-21
Doomsday	Action	5.8	22211426	2008-03-14
Double Impact	Action	5.3	30102717	1991-08-09
Dracula 2000	Action	4.6	33000337	2000-12-22
Dracula Untold	Action	6.2	215529201	2014-10-10
Dragon Wars: D-War	Action	4	53587404	2007-09-14
DragonHeart	Action	6.4	115267375	1996-05-31
Dredd	Action	6.6	41037742	2012-09-21
Drive Angry	Action	5.3	28931401	2011-02-25
Driven	Action	4.5	54744738	2001-04-27
Dylan Dog: Dead of Night	Action	4.5	4634062	2011-04-29
Eagle Eye	Action	6.3	178066569	2008-09-26
Edge of Tomorrow	Action	7.6	370541256	2014-06-06
El Mariachi	Action	6.6	2040920	1993-02-26
Elektra	Action	4.8	56681566	2005-01-14
Elysium	Action	6.4	286140700	2013-08-09
End of Days	Action	5.5	211989043	1999-11-24
End of Watch	Action	7.2	48126384	2012-09-21
Ender's Game	Action	6.6	125537191	2013-11-01
Enemy of the State	Action	6.7	250649836	1998-11-20
Entrapment	Action	6	212404396	1999-04-30
Equilibrium	Action	6.9	5359645	2002-12-06
Eragon	Action	4.9	249288105	2006-12-15
Eraser	Action	5.6	242295562	1996-06-21
Escape from L.A.	Action	5.6	42277365	1996-08-09
Escape Plan	Action	6.7	122915111	2013-10-18
Everest	Action	6.7	203427584	2015-09-25
Executive Decision	Action	5.8	121969216	1996-03-15
Exit Wounds	Action	5.3	79958599	2001-03-16
Exodus: Gods and Kings	Action	5.6	268031828	2014-12-12
Face/Off	Action	6.8	245676146	1997-06-27
Fair Game	Action	6.5	24188922	1995-11-03
Fantastic 4: Rise of the Silver Surfer	Action	5.4	289047763	2007-06-15
Fantastic Four	Action	4.4	167977596	2005-07-08
Fantastic Four	Action	4.4	167977596	2015-08-07
Fast Five	Action	7.1	626137675	2011-04-29
First Knight	Action	5.9	127600435	1995-07-07
Fled	Action	5.2	17193231	1996-07-19
Flight of the Phoenix	Action	5.7	21009180	2004-12-17
Flyboys	Action	6.3	17800000	2006-09-22
Fool's Gold	Action	5.4	111231041	2008-02-08
Fortress	Action	5.7	6739141	1993-09-03
Four Brothers	Action	6.7	92374674	2005-08-12
Freddy vs. Jason	Action	5.8	114908830	2003-08-15
Free State of Jones	Action	6.6	25035950	2016-06-24
From a Whisper to a Scream	Action	6.8	1400000	1987-09-04
From Dusk Till Dawn	Action	6.9	25836616	1996-01-19
Furious 7	Action	7.3	1506249360	2015-04-03
Fury	Action	7.4	211817906	2014-10-17
G.I. Jane	Action	6	48169156	1997-08-22
G.I. Joe: Retaliation	Action	5.4	371876278	2013-03-28
G.I. Joe: The Rise of Cobra	Action	5.6	302469017	2009-08-07
Gamer	Action	5.6	40828540	2009-09-04
Gangster Squad	Action	6.2	105200903	2013-01-11
Get Carter	Action	4.8	19412993	2000-10-06
Get Smart	Action	6	230685453	2008-06-20
Ghost Rider	Action	5.2	228738393	2007-02-16
Ghost Rider: Spirit of Vengeance	Action	4.7	149217355	2012-02-17
Ghostbusters	Action	5.3	229147509	2016-07-15
Ghosts of Mars	Action	4.8	14010832	2001-08-24
Gladiator	Action	7.9	457640427	2000-05-05
Gods of Egypt	Action	5.3	150680864	2016-02-26
Godzilla 2000	Action	5.9	10037390	2000-08-18
GoldenEye	Action	6.6	352194034	1995-11-17
Gone in Sixty Seconds	Action	6.1	237202299	2000-06-09
Green Lantern	Action	5.1	219851172	2011-06-17
Green Zone	Action	6.4	94882889	2010-03-12
Grindhouse	Action	6.8	25037897	2007-04-06
Guardians of the Galaxy	Action	7.9	773328629	2014-08-01
Hancock	Action	6.2	624029371	2008-07-02
Hanna	Action	6.5	63782078	2011-04-08
Hard Rain	Action	5.5	19870567	1998-01-16
Harley Davidson and the Marlboro Man	Action	6.1	7434726	1991-08-23
Harry Brown	Action	6.7	10329747	2010-05-14
Harsh Times	Action	6.3	5967038	2006-11-10
Heist	Action	5.6	4100000	2001-11-09
Hellboy	Action	6.5	99318987	2004-04-02
Hellboy II: The Golden Army	Action	6.5	160388063	2008-07-11
Hercules	Action	5.6	243400000	2014-07-25
Hero	Action	7.2	177394432	2004-08-27
Hidalgo	Action	6.5	108103450	2004-03-05
Highlander	Action	6.8	5900000	1986-03-07
Highlander: Endgame	Action	4.4	15843608	2000-09-01
Highlander: The Final Dimension	Action	4.5	36800000	1995-01-27
Hollow Man	Action	5.6	190213455	2000-08-04
Hollywood Homicide	Action	5	51142659	2003-06-13
Homefront	Action	6.4	43058898	2013-11-27
Hostage	Action	6.2	77944725	2005-03-11
Hot Pursuit	Action	5.4	51680201	2015-05-08
Howard the Duck	Action	5.1	37962774	1986-08-01
Hudson Hawk	Action	5.4	17218080	1991-05-24
Hulk	Action	5.3	245360480	2003-06-20
I Am Number Four	Action	5.9	144492830	2011-02-18
I Spy	Action	5.2	33561137	2002-11-01
"I, Frankenstein"	Action	5	71154592	2014-01-24
"I, Robot"	Action	6.7	347234916	2004-07-16
Immortals	Action	5.7	226904017	2011-11-11
In the Heart of the Sea	Action	6.5	93820758	2015-12-11
In Time	Action	6.7	173930596	2011-10-28
Inception	Action	8.1	825532764	2010-07-16
Independence Day	Action	6.7	816969268	1996-07-03
Independence Day: Resurgence	Action	4.9	389681935	2016-06-24
Indiana Jones and the Kingdom of the Crystal Skull	Action	5.7	786636033	2008-05-22
Indiana Jones and the Last Crusade	Action	7.6	474171806	1989-05-24
Insurgent	Action	6.2	295238201	2015-03-20
Into the Blue	Action	5.8	44434439	2005-09-30
Into the Storm	Action	5.8	160602194	2014-08-08
Ip Man 3	Action	6.5	156844753	2015-12-24
Iron Man	Action	7.4	585174222	2008-05-02
Iron Man 2	Action	6.6	623933331	2010-05-07
Iron Man 3	Action	6.8	1215439994	2013-05-03
Ishtar	Action	4.2	14375181	1987-05-15
Jack Reacher	Action	6.3	218340595	2012-12-21
Jack Ryan: Shadow Recruit	Action	5.9	50549107	2014-01-17
Jarhead	Action	6.6	96889998	2005-11-04
Jason Bourne	Action	5.9	415484914	2016-07-29
Jason X	Action	4.5	16951798	2002-04-26
John Carter	Action	6.1	284139100	2012-03-09
Johnny English	Action	6	160583018	2003-07-18
Johnny English Reborn	Action	6	160078586	2011-10-21
Jonah Hex	Action	4.4	10539000	2010-06-18
Journey 2: The Mysterious Island	Action	5.8	355692760	2012-02-10
Journey to the Center of the Earth	Action	5.8	101702060	2008-07-11
Jumper	Action	5.9	222231186	2008-02-14
Jupiter Ascending	Action	5.2	183987723	2015-02-06
Jurassic Park III	Action	5.7	368780809	2001-07-18
Jurassic World	Action	6.5	1513528810	2015-06-12
Keanu	Action	6	20566327	2016-04-29
Kick-Ass	Action	7.1	96188903	2010-04-16
Kick-Ass 2	Action	6.3	60700000	2013-08-16
Kill Bill: Vol. 1	Action	7.7	180949000	2003-10-10
Kill Bill: Vol. 2	Action	7.6	152159461	2004-04-16
Killer Elite	Action	6.1	57777106	2011-09-23
Killers	Action	5.7	98159963	2010-06-04
King Kong	Action	6.6	550000000	2005-12-14
Kingdom of Heaven	Action	6.6	211643158	2005-05-06
Kiss of the Dragon	Action	6.4	64437847	2001-07-06
Knight and Day	Action	5.9	261930431	2010-06-23
Kung Fu Hustle	Action	7.2	100914445	2005-04-22
Ladder 49	Action	6.2	74541707	2004-10-01
Lake Placid	Action	5.5	56870414	1999-07-16
Lara Croft Tomb Raider: The Cradle of Life	Action	5.5	156505388	2003-07-25
Lara Croft: Tomb Raider	Action	5.7	274703340	2001-06-15
Last Action Hero	Action	6.1	137298489	1993-06-18
Left Behind	Action	3.7	19682924	2014-10-03
Legion	Action	5.2	67918658	2010-01-22
Lethal Weapon 3	Action	6.4	321731527	1992-05-15
Lethal Weapon 4	Action	6.3	285444603	1998-07-10
Licence to Kill	Action	5.9	156167015	1989-07-14
Live Free or Die Hard	Action	6.4	383531464	2007-06-27
Lockout	Action	5.8	32204030	2012-04-13
London Has Fallen	Action	5.8	205754447	2016-03-04
Lone Survivor	Action	7.4	149295601	2014-01-10
Looper	Action	6.6	47042000	2012-09-28
Lost in Space	Action	5	136159423	1998-04-03
Lucy	Action	6.3	126546825	2014-07-25
MacGruber	Action	5.1	6110000	2010-05-21
Machete	Action	6.3	31327899	2010-09-03
Machete Kills	Action	5.3	15008161	2013-10-11
Machine Gun Preacher	Action	6.4	2527904	2012-02-03
Mad Max: Fury Road	Action	7.2	378858340	2015-05-15
Maleficent	Action	7	758539785	2014-05-30
Man of Steel	Action	6.5	662845518	2013-06-14
Man on a Ledge	Action	6.2	46221189	2012-01-27
Man on Fire	Action	7.3	130293714	2004-04-23
Master and Commander: The Far Side of the World	Action	6.9	212011111	2003-11-14
Max Payne	Action	5.2	85416905	2008-10-17
Maximum Risk	Action	5.2	51702483	1996-09-13
Maze Runner: The Scorch Trials	Action	6.4	311256926	2015-09-18
Men in Black 3	Action	6.2	624026776	2012-05-25
Men in Black II	Action	6	441818803	2002-07-03
Midnight Run	Action	7.2	38413606	1988-07-20
Minority Report	Action	7.1	358372926	2002-06-21
Miracle at St. Anna	Action	6.3	9323833	2008-09-26
Miss Congeniality	Action	6.1	212000000	2000-12-22
Mission: Impossible	Action	6.7	457696359	1996-05-22
Mission: Impossible - Ghost Protocol	Action	6.8	694713380	2011-12-21
Mission: Impossible II	Action	5.9	546388105	2000-05-24
Mission: Impossible III	Action	6.5	397850012	2006-05-05
Money Train	Action	5.4	35431113	1995-11-22
Mortal Kombat	Action	5.4	122195920	1995-08-18
Mortal Kombat: Annihilation	Action	3.8	51376861	1997-11-21
Mortdecai	Action	5.4	30418560	2015-01-23
Mr. & Mrs. Smith	Action	6.5	478207520	2005-06-10
Mystery Men	Action	5.7	29762011	1999-08-06
National Treasure	Action	6.4	347451894	2004-11-19
Need for Speed	Action	6.1	203277636	2014-03-14
Never Back Down	Action	6.4	41627431	2008-03-14
Night Watch	Action	6.3	32000000	2006-03-03
Ninja Assassin	Action	6.2	60462347	2009-11-25
No Escape	Action	6.7	54418872	1994-04-29
No Escape	Action	6.7	54418872	2015-08-26
Noah	Action	5.6	362637473	2014-03-28
Non-Stop	Action	6.8	222809600	2014-02-28
Oblivion	Action	6.4	286168572	2013-04-19
Olympus Has Fallen	Action	6.2	161025640	2013-03-22
On Deadly Ground	Action	4.5	49000000	1994-02-18
Once Upon a Time in Mexico	Action	6.2	98185582	2003-09-12
One for the Money	Action	5.3	36893721	2012-01-27
Out of Time	Action	6.1	55495563	2003-10-03
Outbreak	Action	6.3	189859560	1995-03-10
Pacific Rim	Action	6.7	407602906	2013-07-12
Pain & Gain	Action	6.1	86175291	2013-04-26
Pandorum	Action	6.5	20645327	2009-09-25
Parker	Action	5.7	46216641	2013-01-25
Patriot Games	Action	6.3	178051587	1992-06-05
Paul Blart: Mall Cop	Action	5.2	183293131	2009-01-16
Paul Blart: Mall Cop 2	Action	5	107597242	2015-04-17
