year,star,director,writer
2006,Sean Penn,Steven Zaillian,Steven Zaillian
2016,Shailene Woodley,Robert Schwentke,Noah Oppenheim
2000,Billy Crudup,Cameron Crowe,Cameron Crowe
2015,Bradley Cooper,Cameron Crowe,Cameron Crowe
2005,Christian Slater,Uwe Boll,Elan Mastai
2001,Morgan Freeman,Lee Tamahori,James Patterson
2004,Ben Stiller,John Hamburg,John Hamburg
2010,Hayden Panettiere,Anthony Bell,Chris Denk
2007,Jason Lee,Tim Hill,Jon Vitti
2011,Justin Long,Mike Mitchell,Jonathan Aibel
2009,Jason Lee,Betty Thomas,Jon Vitti
1999,Kevin Spacey,Sam Mendes,Alan Ball
2006,Hugh Grant,Paul Weitz,Paul Weitz
2007,Denzel Washington,Ridley Scott,Steven Zaillian
1998,Edward Norton,Tony Kaye,David McKenna
2013,Christian Bale,David O. Russell,Eric Warren Singer
2001,Colin Farrell,Les Mayfield,Roderick Taylor
1999,Jason Biggs,Paul Weitz,Adam Herz
2001,Jason Biggs,J.B. Rogers,Adam Herz
2000,Christian Bale,Mary Harron,Bret Easton Ellis
2012,Jason Biggs,Jon Hurwitz,Jon Hurwitz
2014,Bradley Cooper,Clint Eastwood,Jason Hall
2003,Jason Biggs,Jesse Dylan,Adam Herz
1997,Djimon Hounsou,Steven Spielberg,David Franzoni
2000,Emilio Echevarr�,Alejandro González Iñárritu,Guillermo Arriaga
2012,Jean-Louis Trintignant,Michael Haneke,Michael Haneke
2005,Jennifer Lopez,Lasse Hallström,Mark Spragg
1997,Jon Voight,Luis Llosa,Hans Bauer
2004,Morris Chestnut,Dwight H. Little,Hans Bauer
2002,Robert De Niro,Harold Ramis,Kenneth Lonergan
1999,Robert De Niro,Harold Ramis,Kenneth Lonergan
1997,Meg Ryan,Don Bluth,Susan Gauthier
2013,Will Ferrell,Adam McKay,Will Ferrell
2004,Will Ferrell,Adam McKay,Will Ferrell
2014,Michael Douglas,Rob Reiner,Mark Andrus
2001,Jennifer Lopez,Luis Mandoki,Gerald Di Pego
2009,Tom Hanks,Ron Howard,David Koepp
2014,Ward Horton,John R. Leonetti,Gary Dauberman
2014,Quvenzhané Wallis,Will Gluck,Will Gluck
2015,David Thewlis,Duke Johnson,Charlie Kaufman
2011,Rhys Ifans,Roland Emmerich,John Orloff
2011,Brit Marling,Mike Cahill,Mike Cahill
2015,Paul Rudd,Peyton Reed,Edgar Wright
2001,Ryan Phillippe,Peter Howitt,Howard Franklin
2002,Denzel Washington,Denzel Washington,Antwone Fisher
1998,Woody Allen,Eric Darnell,Todd Alcott
1999,Al Pacino,Oliver Stone,Daniel Pyne
1999,Susan Sarandon,Wayne Wang,Mona Simpson
2006,Gerardo Taracena,Mel Gibson,Mel Gibson
1995,Tom Hanks,Ron Howard,Jim Lovell
2011,Warren Christie,Gonzalo López-Gallego,Brian Miller
2008,Ed Harris,Ed Harris,Robert Knott
2006,Emma Roberts,Elizabeth Allen Rosenbaum,John Quaintance
1990,Jeff Daniels,Frank Marshall,Don Jakoby
2012,Richard Gere,Nicholas Jarecki,Nicholas Jarecki
2005,Ice Cube,Brian Levant,Steven Gary Banks
2012,Ben Affleck,Ben Affleck,Chris Terrio
1998,Bruce Willis,Michael Bay,Jonathan Hensleigh
2009,Columbus Short,Nimród Antal,James V. Simpson
2004,Jackie Chan,Frank Coraci,Jules Verne
2006,Freddie Highmore,Luc Besson,Céline Garcia
2014,Perdita Weeks,John Erick Dowdle,John Erick Dowdle
1997,Jack Nicholson,James L. Brooks,Mark Andrus
1995,Sylvester Stallone,Richard Donner,Lilly Wachowski
2005,Ethan Hawke,Jean-François Richet,John Carpenter
2009,Freddie Highmore,David Bowers,Osamu Tezuka
2001,Michael J. Fox,Gary Trousdale,Tab Murphy
2007,Keira Knightley,Joe Wright,Ian McEwan
2011,John Boyega,Joe Cornish,Joe Cornish
2007,Freddie Highmore,Kirsten Sheridan,Nick Castle
2013,Meryl Streep,John Wells,Tracy Letts
2002,Mike Myers,Jay Roach,Mike Myers
1997,Mike Myers,Jay Roach,Mike Myers
1999,Mike Myers,Jay Roach,Mike Myers
2008,Nicole Kidman,Baz Luhrmann,Stuart Beattie
2002,Greg Kinnear,Paul Schrader,Robert Graysmith
2009,Sam Worthington,James Cameron,James Cameron
2015,Robert Downey Jr.,Joss Whedon,Joss Whedon
2004,Sanaa Lathan,Paul W.S. Anderson,Dan O'Bannon
2009,John Krasinski,Sam Mendes,Dave Eggers
2006,Brad Pitt,Alejandro González Iñárritu,Guillermo Arriaga
2001,AlexSandra Wright,John Singleton,John Singleton
1999,Kathleen Turner,Bob Clark,Steven Paul
2008,Tina Fey,Michael McCullers,Michael McCullers
1994,Lara Flynn Boyle,Patrick Read Johnson,John Hughes
2008,Vin Diesel,Mathieu Kassovitz,Maurice G. Dantec
2012,Kirsten Dunst,Leslye Headland,Leslye Headland
1989,Michael J. Fox,Robert Zemeckis,Robert Zemeckis
1990,Michael J. Fox,Robert Zemeckis,Robert Zemeckis
1995,Will Smith,Michael Bay,George Gallo
2003,Will Smith,Michael Bay,George Gallo
2002,Anthony Hopkins,Joel Schumacher,Gary M. Goodman
2013,Johnny Knoxville,Jeff Tremaine,Johnny Knoxville
2016,Mila Kunis,Jon Lucas,Jon Lucas
2003,Billy Bob Thornton,Terry Zwigoff,Glenn Ficarra
2011,Cameron Diaz,Jake Kasdan,Gene Stupnitsky
2002,Antonio Banderas,Wych Kaosayananda,Alan B. McElroy
2001,Bruce Willis,Barry Levinson,Harley Peyton
2008,Nicolas Cage,Danny Pang,Jason Richman
2002,Ice Cube,Tim Story,Mark Brown
2006,Sharon Stone,Michael Caton-Jones,Leora Barish
1996,Jeffrey Wright,Julian Schnabel,Lech Majewski
1989,Michael Keaton,Tim Burton,Bob Kane
1997,Arnold Schwarzenegger,Joel Schumacher,Bob Kane
2005,Christian Bale,Christopher Nolan,Bob Kane
1995,Val Kilmer,Joel Schumacher,Bob Kane
1992,Michael Keaton,Tim Burton,Bob Kane
2016,Ben Affleck,Zack Snyder,Chris Terrio
2000,John Travolta,Roger Christian,Corey Mandell
2012,Alexander Skarsgård,Peter Berg,Jon Hoeber
2005,John Travolta,F. Gary Gray,Elmore Leonard
2011,Alex Pettyfer,Daniel Barnz,Daniel Barnz
1991,Marc Singer,Sylvio Tabet,Andre Norton
2012,Quvenzhané Wallis,Benh Zeitlin,Lucy Alibar
2013,Alice Englert,Richard LaGravenese,Richard LaGravenese
2007,Anne Hathaway,Julian Jarrold,Jane Austen
2000,Brendan Fraser,Harold Ramis,Peter Cook
2008,Adam Sandler,Adam Shankman,Matt Lopez
2007,Jerry Seinfeld,Simon J. Smith,Jerry Seinfeld
2006,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar
1988,Alec Baldwin,Tim Burton,Michael McDowell
2014,Nicole Kidman,Rowan Joffe,Rowan Joffe
2013,Ethan Hawke,Richard Linklater,Richard Linklater
1995,Ethan Hawke,Richard Linklater,Richard Linklater
2004,Ethan Hawke,Richard Linklater,Richard Linklater
2010,Ewan McGregor,Mike Mills,Mike Mills
2001,Gene Hackman,John Moore,Jim Thomas
1999,John Cusack,Spike Jonze,Charlie Kaufman
2016,Jack Huston,Timur Bekmambetov,Lew Wallace
2007,Ray Winstone,Robert Zemeckis,Neil Gaiman
2011,Jack Black,Richard Linklater,Skip Hollandsworth
2008,Drew Barrymore,Raja Gosnell,Analisa LaBianco
1987,Eddie Murphy,Tony Scott,Danilo Bach
1994,Eddie Murphy,John Landis,Danilo Bach
2014,Gugu Mbatha-Raw,Gina Prince-Bythewood,Gina Prince-Bythewood
1999,Robin Williams,Chris Columbus,Isaac Asimov
1988,Tom Hanks,Penny Marshall,Gary Ross
1999,Adam Sandler,Dennis Dugan,Steve Franks
2014,Amy Adams,Tim Burton,Scott Alexander
2002,Frankie Muniz,Shawn Levy,Dan Schneider
2003,Ewan McGregor,Tim Burton,Daniel Wallace
2014,Ryan Potter,Don Hall,Jordan Roberts
2012,Drew Barrymore,Ken Kwapis,Jack Amiel
2000,Martin Lawrence,Raja Gosnell,Darryl Quarles
2006,Martin Lawrence,John Whitesell,Don Rhymer
2011,Martin Lawrence,John Whitesell,Matt Fogel
2002,Tim Allen,Barry Sonnenfeld,Dave Barry
1986,Kurt Russell,John Carpenter,Gary Goldman
1989,Keanu Reeves,Stephen Herek,Chris Matheson
2000,Jamie Bell,Stephen Daldry,Lee Hall
2006,Carice van Houten,Paul Verhoeven,Gerard Soeteman
2006,Michelle Trachtenberg,Glen Morgan,Glen Morgan
2001,Josh Hartnett,Ridley Scott,Mark Bowden
2015,Johnny Depp,Scott Cooper,Mark Mallouk
1989,Michael Douglas,Ridley Scott,Craig Bolotin
2006,Christina Ricci,Craig Brewer,Craig Brewer
2010,Natalie Portman,Darren Aronofsky,Mark Heyman
2015,Chris Hemsworth,Michael Mann,Morgan Davis Foehl
1998,Wesley Snipes,Stephen Norrington,David S. Goyer
2002,Wesley Snipes,Guillermo del Toro,Marv Wolfman
2004,Wesley Snipes,David S. Goyer,David S. Goyer
1999,Brendan Fraser,Hugh Wilson,Bill Kelly
2014,Adam Sandler,Frank Coraci,Ivan Menchell
2002,Clint Eastwood,Clint Eastwood,Michael Connelly
2005,Kristanna Loken,Uwe Boll,Guinevere Turner
1988,Jean-Claude Van Damme,Newt Arnold,Sheldon Lettich
2001,Johnny Depp,Ted Demme,Bruce Porter
2002,Kate Bosworth,John Stockwell,Susan Orlean
2013,Cate Blanchett,Woody Allen,Woody Allen
1999,Martin Lawrence,Les Mayfield,Michael Berry
2010,Ryan Gosling,Derek Cianfrance,Derek Cianfrance
2002,Cuba Gooding Jr.,Mort Nathan,Mort Nathan
2008,Leonardo DiCaprio,Ridley Scott,William Monahan
2000,Giovanni Ribisi,Ben Younger,Ben Younger
2008,John Travolta,Byron Howard,Dan Fogelman
2005,Barry Watson,Stephen Kay,Eric Kripke
1997,Mark Wahlberg,Paul Thomas Anderson,Paul Thomas Anderson
1992,Eddie Murphy,Reginald Hudlin,Eddie Murphy
2006,Sacha Baron Cohen,Larry Charles,Sacha Baron Cohen
1989,Tom Cruise,Oliver Stone,Ron Kovic
1996,Luke Wilson,Wes Anderson,Owen Wilson
2008,Chris Pine,Randall Miller,Jody Savin
1996,Jennifer Tilly,Lana Wachowski,Lilly Wachowski
2014,Ellar Coltrane,Richard Linklater,Richard Linklater
2000,Freddie Prinze Jr.,Robert Iscove,Andrew Lowery
1999,Hilary Swank,Kimberly Peirce,Kimberly Peirce
1991,Cuba Gooding Jr.,John Singleton,John Singleton
2012,Kelly Macdonald,Mark Andrews,Brenda Chapman
1995,Mel Gibson,Mel Gibson,Randall Wallace
1997,Kurt Russell,Jonathan Mostow,Jonathan Mostow
1998,Jennifer Tilly,Ronny Yu,Don Mancini
2009,Kate Hudson,Gary Winick,Greg DePaul
2011,Kristen Wiig,Paul Feig,Kristen Wiig
2015,Tom Hanks,Steven Spielberg,Matt Charman
2007,Josh Hutcherson,Gabor Csupo,Jeff Stockwell
2001,Renée Zellweger,Sharon Maguire,Helen Fielding
2004,Renée Zellweger,Beeban Kidron,Helen Fielding
2009,Abbie Cornish,Jane Campion,Jane Campion
2000,Kirsten Dunst,Peyton Reed,Jessica Bendinger
2003,Steve Martin,Adam Shankman,Jason Filardi
2005,Jake Gyllenhaal,Ang Lee,Annie Proulx
1999,Claire Danes,Jonathan Kaplan,Adam Fields
1996,John Travolta,John Woo,Graham Yost
2013,Mark Wahlberg,Allen Hughes,Brian Tucker
2015,Saoirse Ronan,John Crowley,Nick Hornby
2009,Richard Gere,Antoine Fuqua,Michael C. Martin
2000,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano
2009,Jake Gyllenhaal,Jim Sheridan,David Benioff
2003,Jim Carrey,Tom Shadyac,Steve Koren
1998,Warren Beatty,Warren Beatty,Warren Beatty
2010,Cher,Steve Antin,Steve Antin
2008,Brad Pitt,Ethan Coen,Joel Coen
2015,Bradley Cooper,John Wells,Steven Knight
1998,Jennifer Love Hewitt,Harry Elfont,Deborah Kaplan
1991,Robert De Niro,Martin Scorsese,John D. MacDonald
2005,Philip Seymour Hoffman,Bennett Miller,Dan Futterman
2016,Chris Evans,Anthony Russo,Christopher Markus
2011,Chris Evans,Joe Johnston,Christopher Markus
2014,Chris Evans,Anthony Russo,Christopher Markus
2001,Nicolas Cage,John Madden,Shawn Slovo
2013,Tom Hanks,Paul Greengrass,Billy Ray
2015,Kate Mara,Jerry Jameson,Brian Bird
2013,Chloë Grace Moretz,Kimberly Peirce,Lawrence D. Cohen
2006,Owen Wilson,John Lasseter,John Lasseter
2011,Owen Wilson,John Lasseter,John Lasseter
2009,Renée Zellweger,Christian Alvart,Ray Wright
1995,Robert De Niro,Martin Scorsese,Nicholas Pileggi
2010,Kevin Spacey,George Hickenlooper,Norman Snider
2006,Daniel Craig,Martin Campbell,Neal Purvis
1995,Bill Pullman,Brad Silberling,Joseph Oriolo
2000,Tom Hanks,Robert Zemeckis,William Broyles Jr.
2002,Leonardo DiCaprio,Steven Spielberg,Jeff Nathanson
2004,Kristen Stewart,Bart Freundlich,Nikolaj Arcel
2001,Alec Baldwin,Lawrence Guterman,John Requa
1997,Scott Bakula,Mark Dindal,Mark Dindal
2004,Halle Berry,Pitof,Bob Kane
2004,Kim Basinger,David R. Ellis,Larry Cohen
2000,Amanda Schull,Nicholas Hytner,Carol Heikkinen
2016,Dwayne Johnson,Rawson Marshall Thurber,Ike Barinholtz
1998,Fernanda Montenegro,Walter Salles,Marcos Bernstein
2010,Michael Fassbender,Neil Marshall,Neil Marshall
1996,Keanu Reeves,Andrew Davis,Arne Schmidt
2008,Angelina Jolie,Clint Eastwood,J. Michael Straczynski
2002,Ben Affleck,Roger Michell,Chap Taylor
2015,Sharlto Copley,Neill Blomkamp,Neill Blomkamp
2005,Johnny Depp,Tim Burton,Roald Dahl
2010,Zac Efron,Burr Steers,Craig Pearce
2007,Tom Hanks,Mike Nichols,Aaron Sorkin
2000,Cameron Diaz,McG,Ryan Rowe
2003,Drew Barrymore,McG,Ivan Goff
1997,Ben Affleck,Kevin Smith,Kevin Smith
2003,Steve Martin,Shawn Levy,Frank B. Gilbreth Jr.
2005,Steve Martin,Adam Shankman,Sam Harper
2002,Renée Zellweger,Rob Marshall,Bill Condon
2005,Zach Braff,Mark Dindal,Mark Dindal
2000,Mel Gibson,Peter Lord,Peter Lord
1988,Catherine Hicks,Tom Holland,Don Mancini
1990,Alex Vincent,John Lafia,Don Mancini
1997,Mohammad Amir Naji,Majid Majidi,Majid Majidi
2006,Julianne Moore,Alfonso Cuarón,Alfonso Cuarón
2009,Julianne Moore,Atom Egoyan,Erin Cressida Wilson
2000,Juliette Binoche,Lasse Hallström,Joanne Harris
2008,Sam Rockwell,Clark Gregg,Clark Gregg
2012,Dane DeHaan,Josh Trank,Max Landis
2015,Lily James,Kenneth Branagh,Chris Weitz
2005,Russell Crowe,Ron Howard,Cliff Hollingsworth
2009,Chris Massoglia,Paul Weitz,Paul Weitz
2002,Robert De Niro,Michael Caton-Jones,Mike McAlary
2009,Andy Garcia,Raymond De Felitta,Raymond De Felitta
2008,Saoirse Ronan,Gil Kenan,Caroline Thompson
2002,Alexandre Rodrigues,Fernando Meirelles,Paulo Lins
2010,Sam Worthington,Louis Leterrier,Travis Beacham
1994,Harrison Ford,Phillip Noyce,Tom Clancy
1994,Brian O'Halloran,Kevin Smith,Kevin Smith
2006,Brian O'Halloran,Kevin Smith,Kevin Smith
2006,Adam Sandler,Frank Coraci,Steve Koren
1993,Sylvester Stallone,Renny Harlin,John Long
2002,Jesse Bradford,Jonathan Frakes,Rob Hedden
2004,Natalie Portman,Mike Nichols,Patrick Marber
2012,Tom Hanks,Tom Tykwer,David Mitchell
2009,Anna Faris,Phil Lord,Phil Lord
2013,Bill Hader,Cody Cameron,Erica Rivinoja
2008,Mike Vogel,Matt Reeves,Drew Goddard
2004,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar
2005,Samuel L. Jackson,Thomas Carter,Mark Schwahn
2003,Jude Law,Anthony Minghella,Charles Frazier
2004,Tom Cruise,Michael Mann,Stuart Beattie
2002,Arnold Schwarzenegger,Andrew Davis,Ronald Roose
2008,Drake Bell,Deb Hagan,Dan Callahan
2011,Zoe Saldana,Olivier Megaton,Luc Besson
1997,Nicolas Cage,Simon West,Scott Rosenberg
2011,Jason Momoa,Marcus Nispel,Thomas Dean Donnelly
2015,Will Smith,Peter Landesman,Peter Landesman
2002,Sam Rockwell,George Clooney,Chuck Barris
2004,Lindsay Lohan,Sara Sugarman,Dyan Sheldon
1995,Laura Linney,Frank Marshall,Michael Crichton
2004,Nia Vardalos,Michael Lembeck,Nia Vardalos
1997,Mel Gibson,Richard Donner,Brian Helgeland
1997,Jodie Foster,Robert Zemeckis,James V. Hart
