year,star,director,writer
2012,Zachary Gordon,David Bowers,Maya Forbes
2011,Zachary Gordon,David Bowers,Gabe Sachs
2007,Michelle Morgan,George A. Romero,George A. Romero
1999,Kirsten Dunst,Andrew Fleming,Andrew Fleming
1990,Warren Beatty,Warren Beatty,Chester Gould
2009,Hugh Grant,Marc Lawrence,Marc Lawrence
2002,Pierce Brosnan,Lee Tamahori,Ian Fleming
1988,Bruce Willis,John McTiernan,Roderick Thorp
1990,Bruce Willis,Renny Harlin,Walter Wager
2000,D.B. Sweeney,Eric Leighton,Thom Enriquez
2016,Robert De Niro,Dan Mazer,John Phillips
2008,Carmen Electra,Jason Friedberg,Jason Friedberg
1994,Michael Douglas,Barry Levinson,Michael Crichton
2007,Shia LaBeouf,D.J. Caruso,Christopher Landon
2014,Shailene Woodley,Neil Burger,Evan Daugherty
2012,Jamie Foxx,Quentin Tarantino,Quentin Tarantino
1989,Danny Aiello,Spike Lee,Spike Lee
2006,Jaime Pressly,Corey Yuen,J.F. Lawton
1998,Eddie Murphy,Betty Thomas,Hugh Lofting
2004,Ben Stiller,Rawson Marshall Thurber,Rawson Marshall Thurber
1999,Ben Affleck,Kevin Smith,Kevin Smith
2011,Morgan Freeman,Charles Martin Smith,Karen Janszen
2001,John Travolta,Harold Becker,Lewis Colick
2005,Keira Knightley,Tony Scott,Richard Kelly
1994,Johnny Depp,Jeremy Leven,Lord Byron
2010,Katie Holmes,Troy Nixey,Guillermo del Toro
2001,Michael Douglas,Gary Fleder,Andrew Klavan
1997,Al Pacino,Mike Newell,Joseph D. Pistone
2001,Jake Gyllenhaal,Richard Kelly,Richard Kelly
2005,Karl Urban,Andrzej Bartkowiak,Dave Callaham
2008,Rhona Mitra,Neil Marshall,Neil Marshall
2015,Shameik Moore,Rick Famuyiwa,Rick Famuyiwa
1991,Jean-Claude Van Damme,Sheldon Lettich,Sheldon Lettich
1999,Ashley Judd,Bruce Beresford,David Weisberg
2008,Meryl Streep,John Patrick Shanley,John Patrick Shanley
2001,Eddie Murphy,Steve Carr,Hugh Lofting
2000,Gerard Butler,Patrick Lussier,Joel Soisson
2014,Luke Evans,Gary Shore,Matt Sazama
2014,Kevin Costner,Ivan Reitman,Scott Rothman
2009,Alison Lohman,Sam Raimi,Sam Raimi
2007,Jason Behr,Hyung-rae Shim,Hyung-rae Shim
2002,Kevin Costner,Tom Shadyac,Brandon Camp
1996,Dennis Quaid,Rob Cohen,Patrick Read Johnson
2011,Daniel Craig,Jim Sheridan,David Loucka
2003,Morgan Freeman,Lawrence Kasdan,Stephen King
2006,Beyoncé Knowles,Bill Condon,Tom Eyen
2012,Karl Urban,Pete Travis,John Wagner
2011,Ryan Gosling,Nicolas Winding Refn,Hossein Amini
2011,Nicolas Cage,Patrick Lussier,Todd Farmer
1999,Melissa Joan Hart,John Schultz,Todd Strasser
2001,Sylvester Stallone,Renny Harlin,Jan Skrentny
1989,Morgan Freeman,Bruce Beresford,Alfred Uhry
1999,Kirsten Dunst,Michael Patrick Jann,Lona Williams
2000,Danny DeVito,Nick Gomez,Peter Steinfeld
2002,Nick Cannon,Charles Stone III,Shawn Schepps
2010,Robert Downey Jr.,Todd Phillips,Alan R. Cohen
1994,Jim Carrey,Peter Farrelly,Peter Farrelly
2014,Jim Carrey,Bobby Farrelly,Sean Anders
2003,Derek Richardson,Troy Miller,Peter Farrelly
2009,Julia Roberts,Tony Gilroy,Tony Gilroy
2010,Brandon Routh,Kevin Munroe,Thomas Dean Donnelly
2008,Shia LaBeouf,D.J. Caruso,John Glenn
2014,Teo Halm,Dave Green,Henry Gayden
2010,Emma Stone,Will Gluck,Bert V. Royal
2010,Julia Roberts,Ryan Murphy,Ryan Murphy
1994,Johnny Depp,Tim Burton,Rudolph Grey
2016,Taron Egerton,Dexter Fletcher,Sean Macaulay
2010,Mel Gibson,Martin Campbell,William Monahan
2014,Tom Cruise,Doug Liman,Christopher McQuarrie
1990,Johnny Depp,Tim Burton,Tim Burton
2006,Paul Walker,Frank Marshall,David DiGilio
1992,Carlos Gallardo,Robert Rodriguez,Robert Rodriguez
2005,Jennifer Garner,Rob Bowman,Mark Steven Johnson
2003,Will Ferrell,Jon Favreau,David Berenbaum
1998,Cate Blanchett,Shekhar Kapur,Michael Hirst
2007,Cate Blanchett,Shekhar Kapur,William Nicholson
2005,Orlando Bloom,Cameron Crowe,Cameron Crowe
2004,Anne Hathaway,Tommy O'Haver,Laurie Craig
2013,Matt Damon,Neill Blomkamp,Neill Blomkamp
2006,Jessica Simpson,Greg Coolidge,Don Calame
2007,Amy Adams,Kevin Lima,Bill Kelly
1999,Arnold Schwarzenegger,Peter Hyams,Andrew W. Marlowe
2012,Jake Gyllenhaal,David Ayer,David Ayer
2013,Harrison Ford,Gavin Hood,Gavin Hood
2014,Gabriella Wilde,Shana Feste,Shana Feste
2001,Jude Law,Jean-Jacques Annaud,Jean-Jacques Annaud
1998,Will Smith,Tony Scott,David Marconi
2002,Jennifer Lopez,Michael Apted,Nicholas Kazan
1999,Sean Connery,Jon Amiel,Ronald Bass
2013,Amanda Seyfried,Chris Wedge,James V. Hart
2002,Christian Bale,Kurt Wimmer,Kurt Wimmer
2006,Ed Speleers,Stefen Fangmeier,Peter Buchman
1996,Arnold Schwarzenegger,Chuck Russell,Tony Puryear
2000,Julia Roberts,Steven Soderbergh,Susannah Grant
1996,Kurt Russell,John Carpenter,John Carpenter
2013,Sylvester Stallone,Mikael Håfström,Miles Chapman
2004,Jim Carrey,Michel Gondry,Charlie Kaufman
2004,Scott Mechlowicz,Jeff Schaffer,Alec Berg
2007,Steve Carell,Tom Shadyac,Steve Oedekerk
1997,Laurence Fishburne,Paul W.S. Anderson,Philip Eisner
1998,Drew Barrymore,Andy Tennant,Susannah Grant
2015,Jason Clarke,Baltasar Kormákur,William Nicholson
2010,Will Ferrell,Dan Rush,Dan Rush
2013,Jane Levy,Fede Alvarez,Fede Alvarez
1987,Bruce Campbell,Sam Raimi,Sam Raimi
1996,Madonna,Alan Parker,Tim Rice
2014,Alicia Vikander,Alex Garland,Alex Garland
1996,Kurt Russell,Stuart Baird,Jim Thomas
2001,Steven Seagal,Andrzej Bartkowiak,Ed Horowitz
2014,Christian Bale,Ridley Scott,Adam Cooper
2004,Stellan Skarsgård,Renny Harlin,William Peter Blatty
2009,Jason Bateman,Mike Judge,Mike Judge
1996,Hugh Grant,Michael Apted,Michael Palmer
2011,Thomas Horn,Stephen Daldry,Eric Roth
1999,Tom Cruise,Stanley Kubrick,Stanley Kubrick
1997,John Travolta,John Woo,Mike Werb
2006,Alex Kendrick,Alex Kendrick,Alex Kendrick
2006,Matthew McConaughey,Tom Dey,Tom J. Astle
1995,William Baldwin,Andrew Sipes,Paula Gosling
2010,Naomi Watts,Doug Liman,Jez Butterworth
1999,James Levine,James Algar,Eric Goldberg
2007,Ioan Gruffudd,Tim Story,Don Payne
2005,Ioan Gruffudd,Tim Story,Mark Frost
2015,Miles Teller,Josh Trank,Jeremy Slater
2009,George Clooney,Wes Anderson,Roald Dahl
2002,Julianne Moore,Todd Haynes,Todd Haynes
2011,Vin Diesel,Justin Lin,Chris Morgan
1987,Michael Douglas,Adrian Lyne,James Dearden
1998,Johnny Depp,Terry Gilliam,Hunter S. Thompson
2002,Stephen Dorff,William Malone,Moshe Diamant
2005,Drew Barrymore,Bobby Farrelly,Lowell Ganz
2015,Dakota Johnson,Sam Taylor-Johnson,Kelly Marcel
1999,Brad Pitt,David Fincher,Chuck Palahniuk
2000,Devon Sawa,James Wong,Glen Morgan
2003,A.J. Cook,David R. Ellis,J. Mackye Gruber
2011,Nicholas D'Agosto,Steven Quale,Eric Heisserer
2001,Alec Baldwin,Hironobu Sakaguchi,Hironobu Sakaguchi
2006,Vin Diesel,Sidney Lumet,Sidney Lumet
2000,Sean Connery,Gus Van Sant,Mike Rich
2003,Albert Brooks,Andrew Stanton,Andrew Stanton
2004,Johnny Depp,Marc Forster,Allan Knee
2008,Kirk Cameron,Alex Kendrick,Alex Kendrick
2006,Harrison Ford,Richard Loncraine,Joe Forte
1995,Sean Connery,Jerry Zucker,Lorne Cameron
2006,Ryan Phillippe,Clint Eastwood,William Broyles Jr.
1990,Kiefer Sutherland,Joel Schumacher,Peter Filardi
1996,Laurence Fishburne,Kevin Hooks,Preston A. Whitmore II
2006,Alison Lohman,Michael Mayer,Mark Rosenthal
2012,Denzel Washington,Robert Zemeckis,John Gatins
2004,Dennis Quaid,John Moore,Lukas Heller
2005,Jodie Foster,Robert Schwentke,Peter A. Dowling
2010,Madeline Carroll,Rob Reiner,Rob Reiner
1996,Paul Hogan,Alan Shapiro,Ricou Browning
1996,Ben Stiller,David O. Russell,David O. Russell
2016,Meryl Streep,Stephen Frears,Nicholas Martin
1997,Robin Williams,Les Mayfield,Samuel W. Taylor
2006,Hugh Jackman,David Bowers,Dick Clement
2006,James Franco,Tony Bill,Phil Sears
2015,Will Smith,Glenn Ficarra,Glenn Ficarra
2008,Matthew McConaughey,Andy Tennant,John Claflin
2011,Kenny Wormald,Craig Brewer,Dean Pitchford
2012,Ari Graynor,Jamie Travis,Lauren Miller
2008,Kristen Bell,Nicholas Stoller,Jason Segel
1994,Tom Hanks,Robert Zemeckis,Winston Groom
1992,Christopher Lambert,Stuart Gordon,Troy Neighbors
2005,Mark Wahlberg,John Singleton,David Elliot
1995,Tim Roth,Allison Anders,Allison Anders
1994,Hugh Grant,Mike Newell,Richard Curtis
2001,Bill Paxton,Bill Paxton,Brent Hanley
2012,Winona Ryder,Tim Burton,Leonard Ripps
2003,Jamie Lee Curtis,Mark Waters,Mary Rodgers
2003,Robert Englund,Ronny Yu,Wes Craven
1991,Robert Englund,Rachel Talalay,Wes Craven
2016,Matthew McConaughey,Gary Ross,Gary Ross
2015,Julianne Moore,Peter Sollett,Ron Nyswaner
2000,Dennis Quaid,Gregory Hoblit,Toby Emmerich
2002,Salma Hayek,Julie Taymor,Hayden Herrera
1995,Ice Cube,F. Gary Gray,Ice Cube
2002,Ice Cube,Marcus Raboy,Ice Cube
1988,Jennifer Banko,John Carl Buechler,Daryl Haney
1989,Jensen Daggett,Rob Hedden,Rob Hedden
2011,Mila Kunis,Will Gluck,Keith Merryman
2006,Jennifer Aniston,Nicole Holofcener,Nicole Holofcener
2011,Anton Yelchin,Craig Gillespie,Marti Noxon
1987,Vincent Price,Jeff Burr,C. Courtney Joyner
1996,Harvey Keitel,Robert Rodriguez,Robert Kurtzman
2001,Johnny Depp,Albert Hughes,Alan Moore
2003,Kelly Clarkson,Robert Iscove,Kim Fuller
2013,Kristen Bell,Chris Buck,Jennifer Lee
2002,Julia Roberts,Steven Soderbergh,Coleman Hough
2012,Victoria Justice,Josh Schwartz,Max Werner
2005,Jim Carrey,Dean Parisot,Judd Apatow
2007,Naomi Watts,Michael Haneke,Michael Haneke
2009,Adam Sandler,Judd Apatow,Judd Apatow
2006,Nicole Kidman,Steven Shainberg,Erin Cressida Wilson
2015,Vin Diesel,James Wan,Chris Morgan
2010,Brendan Fraser,Roger Kumble,Michael Carnes
2014,Brad Pitt,David Ayer,David Ayer
2009,Will Arnett,Hoyt Yeatman,Cormac Wibberley
1997,Demi Moore,Ridley Scott,Danielle Alexandra
2013,Dwayne Johnson,Jon M. Chu,Rhett Reese
2009,Dennis Quaid,Stephen Sommers,Stuart Beattie
1999,Tim Allen,Dean Parisot,David Howard
2009,Gerard Butler,Mark Neveldine,Mark Neveldine
2002,Leonardo DiCaprio,Martin Scorsese,Jay Cocks
2013,Sean Penn,Ruben Fleischer,Will Beall
2004,Zach Braff,Zach Braff,Zach Braff
2004,Breckin Meyer,Peter Hewitt,Jim Davis
1997,Ethan Hawke,Andrew Niccol,Andrew Niccol
2000,Sylvester Stallone,Stephen Kay,Ted Lewis
2015,Will Ferrell,Etan Cohen,Jay Martel
2005,50 Cent,Jim Sheridan,Terence Winter
1995,Gene Hackman,Barry Sonnenfeld,Elmore Leonard
2008,Steve Carell,Peter Segal,Tom J. Astle
1990,Patrick Swayze,Jerry Zucker,Bruce Joel Rubin
2007,Nicolas Cage,Mark Steven Johnson,Mark Steven Johnson
2011,Nicolas Cage,Mark Neveldine,Scott M. Gimple
2002,Julianna Margulies,Steve Beck,Mark Hanlon
2016,Melissa McCarthy,Paul Feig,Katie Dippold
2001,Natasha Henstridge,John Carpenter,Larry Sulkis
2003,Ben Affleck,Martin Brest,Martin Brest
1996,Theresa Randle,Spike Lee,Suzan-Lori Parks
2000,Russell Crowe,Ridley Scott,David Franzoni
1992,Al Pacino,James Foley,David Mamet
2001,Mariah Carey,Vondie Curtis-Hall,Cheryl L. West
1989,Matthew Broderick,Edward Zwick,Kevin Jarre
1999,Sarah Polley,Doug Liman,John August
2003,Stephen Lang,Ron Maxwell,Jeff Shaara
1998,Ian McKellen,Bill Condon,Christopher Bram
2016,Brenton Thwaites,Alex Proyas,Matt Sazama
2004,Robert De Niro,Nick Hamm,Mark Bomback
1999,Hiroshi Abe,Takao Okawara,Hiroshi Kashiwabara
2010,Drew Barrymore,Nanette Burstein,Geoff LaTulippe
1995,Pierce Brosnan,Martin Campbell,Ian Fleming
2014,Ben Affleck,David Fincher,Gillian Flynn
2000,Nicolas Cage,Dominic Sena,H.B. Halicki
2007,Dane Cook,Mark Helfrich,Josh Stolberg
1987,Robin Williams,Barry Levinson,Mitch Markowitz
2005,David Strathairn,George Clooney,George Clooney
1997,Robin Williams,Gus Van Sant,Matt Damon
1990,Robert De Niro,Martin Scorsese,Nicholas Pileggi
2015,Jack Black,Rob Letterman,Darren Lemke
2001,Maggie Smith,Robert Altman,Julian Fellowes
2000,James Marsden,Davis Guggenheim,Gregory Poirier
2003,Halle Berry,Mathieu Kassovitz,Sebastian Gutierrez
2008,Clint Eastwood,Clint Eastwood,Nick Schenk
2013,Sandra Bullock,Alfonso Cuarón,Alfonso Cuarón
2011,Ryan Reynolds,Martin Campbell,Greg Berlanti
2015,Anton Yelchin,Jeremy Saulnier,Jeremy Saulnier
2010,Matt Damon,Paul Greengrass,Brian Helgeland
1990,Zach Galligan,Joe Dante,Chris Columbus
2006,Dwayne Johnson,Phil Joanou,Jeff Maguire
2007,Kurt Russell,Robert Rodriguez,Robert Rodriguez
1993,Bill Murray,Harold Ramis,Danny Rubin
2010,Adam Sandler,Dennis Dugan,Adam Sandler
2013,Robert De Niro,Peter Segal,Tim Kelleher
2014,Chris Pratt,James Gunn,James Gunn
2005,Ashton Kutcher,Kevin Rodney Sullivan,William Rose
2010,Jack Black,Rob Letterman,Joe Stillman
2000,Liam Neeson,Eric Blakeney,Eric Blakeney
1995,Jonny Lee Miller,Iain Softley,Rafael Moreu
2016,Josh Brolin,Ethan Coen,Joel Coen
1988,Sonny Bono,John Waters,John Waters
2007,John Travolta,Adam Shankman,Leslie Dixon
1998,Dave Chappelle,Tamra Davis,Dave Chappelle
2006,Ryan Gosling,Ryan Fleck,Ryan Fleck
2011,Owen Wilson,Bobby Farrelly,Pete Jones
2007,Scout Taylor-Compton,Rob Zombie,Rob Zombie
1988,Donald Pleasence,Dwight H. Little,Dhani Lipsius
2009,Scout Taylor-Compton,Rob Zombie,Rob Zombie
2002,Jamie Lee Curtis,Rick Rosenthal,Debra Hill
1995,Donald Pleasence,Joe Chappelle,Debra Hill
2008,Will Smith,Peter Berg,Vincent Ngo
2000,Diane Keaton,Diane Keaton,Delia Ephron
2011,Saoirse Ronan,Joe Wright,Seth Lochhead
2009,Miley Cyrus,Peter Chelsom,Dan Berendsen
2007,Gaspard Ulliel,Peter Webber,Thomas Harris
2006,Elijah Wood,George Miller,George Miller
2011,Elijah Wood,George Miller,George Miller
1996,Adam Sandler,Dennis Dugan,Tim Herlihy
1999,Jeremy Northam,Mark Illsley,Ed Stone
2005,Patrick Wilson,David Slade,Brian Nelson
1998,Morgan Freeman,Mikael Salomon,Graham Yost
2001,Keanu Reeves,Brian Robbins,Daniel Coyle
1991,Mickey Rourke,Simon Wincer,Don Michael Paul
2008,John Cho,Jon Hurwitz,Jon Hurwitz
2004,John Cho,Danny Leiner,Jon Hurwitz
2009,Michael Caine,Daniel Barber,Gary Young
2002,Daniel Radcliffe,Chris Columbus,J.K. Rowling
2005,Daniel Radcliffe,Mike Newell,Steve Kloves
2009,Daniel Radcliffe,David Yates,Steve Kloves
2007,Daniel Radcliffe,David Yates,Michael Goldenberg
2004,Daniel Radcliffe,Alfonso Cuarón,J.K. Rowling
2005,Christian Bale,David Ayer,David Ayer
2002,Bruce Willis,Gregory Hoblit,John Katzenbach
1998,Denzel Washington,Spike Lee,Spike Lee
2001,Monica Potter,Mark Waters,John J. Strauss
2001,Anthony Hopkins,Scott Hicks,Stephen King
2014,Greg Kinnear,Randall Wallace,Randall Wallace
2001,Gene Hackman,David Mamet,David Mamet
2004,Ron Perlman,Guillermo del Toro,Guillermo del Toro
2008,Ron Perlman,Guillermo del Toro,Guillermo del Toro
1987,Andrew Robinson,Clive Barker,Clive Barker
2013,Joaquin Phoenix,Spike Jonze,Spike Jonze
2005,Lindsay Lohan,Angela Robinson,Thomas Lennon
1997,Tate Donovan,Ron Clements,Ron Clements
2014,Dwayne Johnson,Brett Ratner,Ryan Condal
1992,Dustin Hoffman,Stephen Frears,Laura Ziskin
2002,Jet Li,Yimou Zhang,Feng Li
2010,Joseph Gordon-Levitt,Spencer Susser,Spencer Susser
2004,Viggo Mortensen,Joe Johnston,John Fusco
2005,Robert De Niro,John Polson,Ari Schlossberg
2002,Jim Caviezel,Carl Franklin,Joseph Finder
2000,John Cusack,Stephen Frears,Nick Hornby
1986,Christopher Lambert,Russell Mulcahy,Gregory Widen
2000,Christopher Lambert,Douglas Aarniokoski,Gregory Widen
1994,Christopher Lambert,Andrew Morahan,Gregory Widen
2005,Will Smith,Andy Tennant,Kevin Bisch
1993,Bette Midler,Kenny Ortega,David Kirschner
2000,Kevin Bacon,Paul Verhoeven,Gary Scott Thompson
2003,Harrison Ford,Ron Shelton,Robert Souza
2015,Jim Parsons,Tim Johnson,Tom J. Astle
1990,Macaulay Culkin,Chris Columbus,John Hughes
1992,Macaulay Culkin,Chris Columbus,John Hughes
1998,Drew Barrymore,Dean Parisot,Vince Gilligan
2004,Judi Dench,Will Finn,Will Finn
2013,Jason Statham,Gary Fleder,Sylvester Stallone
2003,Jessica Alba,Bille Woodruff,Alonzo Brown
2005,Anne Hathaway,Cory Edwards,Cory Edwards
1991,Dustin Hoffman,Steven Spielberg,J.M. Barrie
2011,Russell Brand,Tim Hill,Cinco Paul
2012,Meryl Streep,David Frankel,Vanessa Taylor
2011,Jason Bateman,Seth Gordon,Michael Markowitz
2014,Jason Bateman,Sean Anders,Sean Anders
2005,Bruce Willis,Florent-Emilio Siri,Robert Crais
2005,Jay Hernandez,Eli Roth,Eli Roth
2007,Lauren German,Eli Roth,Eli Roth
2015,Reese Witherspoon,Anne Fletcher,David Feeney
2010,John Cusack,Steve Pink,Josh Heald
2015,Rob Corddry,Steve Pink,Josh Heald
2004,Don Cheadle,Terry George,Keir Pearson
2012,Adam Sandler,Genndy Tartakovsky,Peter Baynham
2015,Adam Sandler,Genndy Tartakovsky,Robert Smigel
2012,Jennifer Lawrence,Mark Tonderai,David Loucka
2003,Sid Haig,Rob Zombie,Rob Zombie
2003,Jennifer Connelly,Vadim Perelman,Andre Dubus III
1999,Geoffrey Rush,William Malone,Robb White
2010,Reese Witherspoon,James L. Brooks,James L. Brooks
2001,Method Man,Jesse Dylan,Dustin Lee Abraham
1998,Angela Bassett,Kevin Rodney Sullivan,Terry McMillan
2000,Jim Carrey,Ron Howard,Dr. Seuss
2016,Dakota Johnson,Christian Ditter,Abby Kohn
2003,Kate Hudson,Donald Petrie,Michele Alexander
2008,Simon Pegg,Robert B. Weide,Peter Straughan
2010,Jay Baruchel,Dean DeBlois,William Davies
2014,Jay Baruchel,Dean DeBlois,Dean DeBlois
1986,Lea Thompson,Willard Huyck,Steve Gerber
2004,Chieko Baishô,Hayao Miyazaki,Hayao Miyazaki
1991,Bruce Willis,Michael Lehmann,Bruce Willis
2011,Asa Butterfield,Martin Scorsese,John Logan
2003,Eric Bana,Ang Lee,Stan Lee
2005,Terrence Howard,Craig Brewer,Craig Brewer
2007,Will Smith,Francis Lawrence,Mark Protosevich
2011,Alex Pettyfer,D.J. Caruso,Alfred Gough
2001,Sean Penn,Jessie Nelson,Kristine Johnson
1997,Jennifer Love Hewitt,Jim Gillespie,Lois Duncan
2009,Paul Rudd,John Hamburg,John Hamburg
2010,Sarah Butler,Steven R. Monroe,Adam Rockoff
2002,Eddie Murphy,Betty Thomas,Morton S. Fine
1998,Jennifer Love Hewitt,Danny Cannon,Lois Duncan
2014,Aaron Eckhart,Stuart Beattie,Stuart Beattie
2004,Will Smith,Alex Proyas,Jeff Vintar
2002,Denis Leary,Chris Wedge,Michael J. Wilson
2012,Ray Romano,Steve Martino,Michael Berg
2009,Ray Romano,Carlos Saldanha,Peter Ackerman
2006,Ray Romano,Carlos Saldanha,Peter Gaulke
2003,John Cusack,James Mangold,Michael Cooney
1999,Devon Sawa,Rodman Flender,Terri Hughes
2014,Chloë Grace Moretz,R.J. Cutler,Shauna Cross
2002,Kieran Culkin,Burr Steers,Burr Steers
2011,Henry Cavill,Tarsem Singh,Charley Parlapanides
2008,Colin Farrell,Martin McDonagh,Martin McDonagh
2015,Chris Hemsworth,Ron Howard,Charles Leavitt
2011,Zana Marjanovic,Angelina Jolie,Angelina Jolie
2007,Adam Brody,Jon Kasdan,Jon Kasdan
2011,Justin Timberlake,Andrew Niccol,Andrew Niccol
2010,Lubna Azabal,Denis Villeneuve,Denis Villeneuve
2010,Leonardo DiCaprio,Christopher Nolan,Christopher Nolan
1996,Will Smith,Roland Emmerich,Dean Devlin
2016,Liam Hemsworth,Roland Emmerich,Nicolas Wright
2008,Harrison Ford,Steven Spielberg,David Koepp
1989,Harrison Ford,Steven Spielberg,Jeffrey Boam
2006,Toby Jones,Douglas McGrath,Douglas McGrath
2009,Brad Pitt,Quentin Tarantino,Quentin Tarantino
2014,Joaquin Phoenix,Paul Thomas Anderson,Paul Thomas Anderson
2013,Oscar Isaac,Ethan Coen,Joel Coen
2006,Denzel Washington,Spike Lee,Russell Gewirtz
2015,Amy Poehler,Pete Docter,Pete Docter
2010,Patrick Wilson,James Wan,Leigh Whannell
2002,Al Pacino,Christopher Nolan,Hillary Seitz
2013,Eugenio Derbez,Eugenio Derbez,Guillermo R�
2015,Shailene Woodley,Robert Schwentke,Brian Duffield
2014,Matthew McConaughey,Christopher Nolan,Jonathan Nolan
2005,Paul Walker,John Stockwell,Matt Johnson
2014,Richard Armitage,Steven Quale,John Swetnam
2007,Emile Hirsch,Sean Penn,Sean Penn
2014,Anna Kendrick,Rob Marshall,James Lapine
2003,George Clooney,Joel Coen,Robert Ramsey
1986,Karen Black,Tobe Hooper,Richard Blake
2009,Morgan Freeman,Clint Eastwood,Anthony Peckham
2015,Donnie Yen,Wilson Yip,Tai-lee Chan
2008,Robert Downey Jr.,Jon Favreau,Mark Fergus
2010,Robert Downey Jr.,Jon Favreau,Justin Theroux
2013,Robert Downey Jr.,Shane Black,Drew Pearce
1987,Warren Beatty,Elaine May,Elaine May
2014,Maika Monroe,David Robert Mitchell,David Robert Mitchell
2009,Meryl Streep,Nancy Meyers,Nancy Meyers
2010,Keir Gilchrist,Anna Boden,Anna Boden
2011,Leonardo DiCaprio,Clint Eastwood,Dustin Lance Black
2011,Adam Sandler,Dennis Dugan,Steve Koren
2012,Tom Cruise,Christopher McQuarrie,Lee Child
2014,Chris Pine,Kenneth Branagh,Adam Cozad
2013,Nicholas Hoult,Bryan Singer,Darren Lemke
1997,Pam Grier,Quentin Tarantino,Quentin Tarantino
1995,David Caruso,William Friedkin,Joe Eszterhas
2005,Jake Gyllenhaal,Sam Mendes,William Broyles Jr.
2016,Matt Damon,Paul Greengrass,Paul Greengrass
1993,John D. LeMay,Adam Marcus,Jay Huguely
2001,Kane Hodder,James Isaac,Victor Miller
1999,Rose McGowan,Darren Stein,Darren Stein
1987,Lorraine Gary,Joseph Sargent,Peter Benchley
2001,Jason Mewes,Kevin Smith,Kevin Smith
1995,Nick Nolte,James Ivory,Ruth Prawer Jhabvala
2009,Megan Fox,Karyn Kusama,Diablo Cody
1996,Tom Cruise,Cameron Crowe,Cameron Crowe
2014,John Lloyd Young,Clint Eastwood,Marshall Brickman
2004,Ben Affleck,Kevin Smith,Kevin Smith
1991,Kevin Costner,Oliver Stone,Oliver Stone
2001,Debi Derryberry,John A. Davis,John A. Davis
1996,Arnold Schwarzenegger,Brian Levant,Randy Kornfield
2013,Nicolas Cage,David Gordon Green,Gary Hawkins
2001,David Spade,Dennie Gordon,David Spade
2012,Taylor Kitsch,Andrew Stanton,Andrew Stanton
2002,Denzel Washington,Nick Cassavetes,James Kearns
2003,Rowan Atkinson,Peter Howitt,Neal Purvis
2011,Rowan Atkinson,Oliver Parker,Hamish McColl
2010,Josh Brolin,Jimmy Hayward,Mark Neveldine
2012,Josh Hutcherson,Brad Peyton,Brian Gunn
2008,Brendan Fraser,Eric Brevig,Michael D. Weiss
2015,Jennifer Lawrence,David O. Russell,David O. Russell
2001,Steve Zahn,John Dahl,Clay Tarver
2009,Amy Adams,Nora Ephron,Nora Ephron
2008,Hayden Christensen,Doug Liman,David S. Goyer
2011,Paula Patton,Salim Akil,Elizabeth Hunter
2007,Ellen Page,Jason Reitman,Diablo Cody
2015,Channing Tatum,Lana Wachowski,Lilly Wachowski
1993,Sam Neill,Steven Spielberg,Michael Crichton
2001,Sam Neill,Joe Johnston,Michael Crichton
2015,Chris Pratt,Colin Trevorrow,Rick Jaffa
2011,Adam Sandler,Dennis Dugan,Allan Loeb
2005,Reese Witherspoon,Mark Waters,Peter Tolan
2003,Ashton Kutcher,Shawn Levy,Sam Harper
2006,Lindsay Lohan,Donald Petrie,I. Marlene King
2002,Harrison Ford,Kathryn Bigelow,Louis Nowra
2001,Kevin Spacey,Iain Softley,Gene Brewer
2016,Keegan-Michael Key,Peter Atencio,Jordan Peele
2000,Ben Stiller,Edward Norton,Stuart Blumberg
2010,Aaron Taylor-Johnson,Matthew Vaughn,Jane Goldman
2013,Aaron Taylor-Johnson,Jeff Wadlow,Jeff Wadlow
2005,Will Ferrell,Jesse Dylan,Leo Benvenuti
2003,Uma Thurman,Quentin Tarantino,Quentin Tarantino
2004,Uma Thurman,Quentin Tarantino,Quentin Tarantino
2014,Jeremy Renner,Michael Cuesta,Peter Landesman
2011,Jason Statham,Gary McKendry,Matt Sherring
2011,Matthew McConaughey,William Friedkin,Tracy Letts
2010,Katherine Heigl,Robert Luketic,Bob DeRosa
2012,Brad Pitt,Andrew Dominik,Andrew Dominik
1993,Eric Stoltz,Roger Avary,Roger Avary
1990,Arnold Schwarzenegger,Ivan Reitman,Murray Salem
2005,Naomi Watts,Peter Jackson,Fran Walsh
2005,Orlando Bloom,Ridley Scott,William Monahan
1996,Woody Harrelson,Bobby Farrelly,Barry Fanaro
2005,Robert Downey Jr.,Shane Black,Brett Halliday
2001,Jet Li,Chris Nahon,Jet Li
1997,Morgan Freeman,Gary Fleder,James Patterson
2001,Jennifer Westfeldt,Charles Herman-Wurmfeld,Heather Juergensen
2010,Tom Cruise,James Mangold,Patrick O'Neill
2007,Seth Rogen,Judd Apatow,Judd Apatow
2009,Nicolas Cage,Alex Proyas,Ryne Douglas Pearson
2015,Adam Scott,Michael Dougherty,Todd Casey
1997,Tenzin Thuthob Tsarong,Martin Scorsese,Melissa Mathison
2004,Stephen Chow,Stephen Chow,Stephen Chow
2008,Jack Black,Mark Osborne,Jonathan Aibel
2011,Jack Black,Jennifer Yuh Nelson,Jonathan Aibel
2016,Jack Black,Alessandro Carloni,Jonathan Aibel
